GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mini-java-app,com.test,DatabaseService,67,37,6,2,19,17,4,6,0,6
mini-java-app,com.test,MiniApp,36,79,3,3,12,30,3,6,0,6
